CCTV1高清,rtp://239.253.92.83:8012
CCTV2高清,rtp://239.253.92.190:6065
CCTV3高清,rtp://239.253.92.191:6057
CCTV4高清,rtp://239.253.92.251:6141
CCTV5高清,rtp://239.253.92.181:6046
CCTV6高清,rtp://239.253.92.193:6058
CCTV7高清,rtp://239.253.92.194:6059
CCTV8高清,rtp://239.253.92.195:6060
CCTV9高清,rtp://239.253.92.107:6020
CCTV10高清,rtp://239.253.92.196:6061
CCTV11高清,rtp://239.253.93.153:6321
CCTV12高清,rtp://239.253.92.197:6062
CCTV13高清,rtp://239.253.92.13:8008
CCTV14高清,rtp://239.253.92.198:6063
CCTV15高清,rtp://239.253.93.154:6322
CCTV16超高清,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV17高清,rtp://239.253.93.150:6318
CCTV5+高清,rtp://239.253.92.82:8013
CGTN外语频道,rtp://239.253.92.15:8011
河北卫视高清,rtp://239.253.92.154:6011
河北经济高清,rtp://239.253.92.171:6001
河北都市高清,rtp://239.253.92.172:6002
河北影视高清,rtp://239.253.92.173:6003
河北少儿科教,rtp://239.253.92.174:6004
河北公共高清,rtp://239.253.92.175:6005
河北农民高清,rtp://239.253.92.176:6006
唐山新闻综合,rtp://239.253.92.245:6089
唐山生活服务,rtp://239.253.92.126:6026
唐山影视,rtp://239.253.92.127:6027
唐山公共,rtp://239.253.92.128:6028
丰南1,rtp://239.253.92.231:6070
石家庄新闻综合高清,rtp://239.253.92.149:6035
湖南卫视高清,rtp://239.253.92.84:8015
浙江卫视高清,rtp://239.253.92.90:8020
江苏卫视高清,rtp://239.253.92.88:8018
北京卫视高清,rtp://239.253.92.87:8014
东南卫视高清,rtp://239.253.92.201:6146
东方卫视高清,rtp://239.253.92.89:8019
天津卫视高清,rtp://239.253.92.91:8021
深圳卫视高清,rtp://239.253.92.86:8017
山东卫视高清,rtp://239.253.92.207:8109
广东卫视高清,rtp://239.253.92.206:8108
黑龙江卫视高清,rtp://239.253.92.85:8016
辽宁卫视高清,rtp://239.253.92.115:6056
安徽卫视高清,rtp://239.253.92.209:6566
湖北卫视高清,rtp://239.253.92.210:6567
四川卫视高清,rtp://239.253.92.16:6043
重庆卫视高清,rtp://239.253.92.10:6053
河南卫视高清,rtp://239.253.92.137:6144
广西卫视高清,rtp://239.253.92.76:8043
贵州卫视高清,rtp://239.253.92.105:6055
江西卫视高清,rtp://239.253.92.19:6145
吉林卫视高清,rtp://239.253.92.202:6147
海南卫视高清,rtp://239.253.93.155:6323
陕西卫视,rtp://239.253.92.36:8045
山西卫视,rtp://239.253.92.44:8046
*云南卫视高清,http://39.130.204.134:6610/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8?#rtp://239.253.92.28:8030
内蒙古卫视高清,http://[2409:8087:1070:301:2028::16]/gslbserv.iptv.nm.chinamobile.com/PLTV/88888890/224/3221225676/index.m3u8?fmt=ts2hls#rtp://239.253.92.45:8047
青海卫视,rtp://239.253.92.47:8048
宁夏卫视,rtp://239.253.92.32:8050
西藏卫视,rtp://239.253.92.42:8051
新疆卫视,rtp://239.253.92.41:8052
甘肃卫视高清,http://39.134.32.101:6610/270000001111/1110000322/index.m3u8?#rtp://239.253.92.48:8053
兵团卫视,rtp://239.253.93.176:6344
三沙卫视高清,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000319/index.m3u8?IAS
CETV-1教育高清,rtp://239.253.92.211:6069
北京纪实高清,rtp://239.253.93.190:6358
金鹰纪实高清,rtp://239.253.92.103:6054
纪实人文高清,rtp://239.253.92.99:6013
求索记录4K测试,rtp://239.253.92.116:6029
CCTV4K超高清,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
爱上4K,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
纯享4K,http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
第一财经,http://cmhiott.hvs.fj.chinamobile.com/PLTV/88888888/224/3221226564/index.m3u8
东方财经,rtp://239.253.93.239:6417
金鹰卡通高清,rtp://239.253.92.163:8055
*哈哈炫动,http://112.25.48.68/live/program/live/hhxdhd/4000000/mnf.m3u8
陶瓷高清,rtp://239.253.93.237:6415
茶频道高清,rtp://239.253.93.212:6390
快乐垂钓高清,rtp://239.253.93.213:6391
法制天地高清,rtp://239.253.93.241:6419
中华美食高清,rtp://239.253.93.248:6426
武术世界高清,rtp://239.253.93.46:6434
文物宝库高清,rtp://239.253.93.180:6437
梨园高清,rtp://239.253.93.133:6441
CHC-高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC-家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC-动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
五星体育,http://125.74.5.39/liveplay-kk.rtxapp.com/live/program/live/ssty/4000000/mnf.m3u8
幸福彩,rtp://239.253.92.81:6129
劲爆体育,rtp://239.253.92.140:6132
足球频道高清,rtp://239.253.93.229:6407
游戏风云高清,rtp://239.253.93.222:6400
极速汽车高清,rtp://239.253.93.228:6406
乐游高清,rtp://239.253.93.224:6402
欢笑剧场4K,rtp://239.253.93.223:6401
魅力体育高清,rtp://239.253.92.78:6125
动漫秀场高清,rtp://239.253.93.225:6403
生活时尚高清,rtp://239.253.93.226:6404
都市剧场高清,rtp://239.253.93.227:6405
黑莓动画,http://[2409:8087:5c00:10:5::92]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225710/index.m3u8
黑莓电影,http://[2409:8087:5c00:10:5::72]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225740/index.m3u8
哒啵赛事,http://[2409:8087:5c00:10:5::88]/cdnrrs.gx.chinamobile.com/PLTV/3/224/3221225760/index.m3u8
*凤凰香港高清,http://ott.mobaibox.com/PLTV/3/224/3221228060/index.m3u8
凤凰资讯高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227226/index.m3u8
凤凰中文高清,http://[2409:8087:3408:20:5040::106]:18890/PLTV/88888888/224/3221227222/index.m3u8
体育赛事高清,rtp://239.253.92.234:6447
求索记录高清,rtp://239.253.93.236:6414
央视台球高清,rtp://239.253.93.231:6409
电视指南高清,rtp://239.253.93.249:6427
第一剧场高清,rtp://239.253.93.138:6428
风云剧场高清,rtp://239.253.93.251:6429
怀旧剧场高清,rtp://239.253.93.252:6430
风云音乐高清,rtp://239.253.93.253:6431
风云足球高清,rtp://239.253.93.254:6432
高尔夫网球高清,rtp://239.253.93.122:6465
兵器科技高清,rtp://239.253.93.47:6435
世界地理高清,rtp://239.253.92.131:6113
女性时尚高清,rtp://239.253.92.144:6114
文化精品高清,rtp://239.253.93.175:6439
早期教育高清,rtp://239.253.93.164:6440
CBN-每日影院,rtp://239.253.92.155:6442
CBN-幸福剧场,rtp://239.253.92.182:6443
CBN-幸福娱乐,rtp://239.253.92.188:6444
CBN-风尚生活,rtp://239.253.92.232:6446
